AvgFitness=1.02411e-05 StdDev=1.26511e-06
AvgFitness=1.02419e-05 StdDev=1.24795e-06
AvgFitness=1.0208e-05 StdDev=1.27668e-06
AvgFitness=1.0231e-05 StdDev=1.26931e-06
AvgFitness=1.02054e-05 StdDev=1.24249e-06
AvgFitness=1.02442e-05 StdDev=1.23826e-06
AvgFitness=1.02127e-05 StdDev=1.23913e-06
AvgFitness=1.01564e-05 StdDev=1.20461e-06
AvgFitness=1.0184e-05 StdDev=1.21196e-06
AvgFitness=1.01629e-05 StdDev=1.22319e-06
AvgFitness=1.01598e-05 StdDev=1.24229e-06
AvgFitness=1.01581e-05 StdDev=1.24427e-06
AvgFitness=1.02031e-05 StdDev=1.24545e-06
AvgFitness=1.0243e-05 StdDev=1.2383e-06
AvgFitness=1.02765e-05 StdDev=1.25261e-06
AvgFitness=1.03107e-05 StdDev=1.25664e-06
AvgFitness=1.02831e-05 StdDev=1.25203e-06
AvgFitness=1.03925e-05 StdDev=1.22379e-06
AvgFitness=1.03782e-05 StdDev=1.25061e-06
AvgFitness=1.03883e-05 StdDev=1.25031e-06
AvgFitness=1.03608e-05 StdDev=1.27626e-06
AvgFitness=1.03614e-05 StdDev=1.24763e-06
AvgFitness=1.03749e-05 StdDev=1.23597e-06
AvgFitness=1.03409e-05 StdDev=1.21133e-06
AvgFitness=1.03929e-05 StdDev=1.22582e-06
AvgFitness=1.03874e-05 StdDev=1.2811e-06
AvgFitness=1.05177e-05 StdDev=1.28187e-06
AvgFitness=1.05338e-05 StdDev=1.26119e-06
AvgFitness=1.05621e-05 StdDev=1.26878e-06
AvgFitness=1.06159e-05 StdDev=1.30758e-06
AvgFitness=1.06785e-05 StdDev=1.35633e-06
AvgFitness=1.07055e-05 StdDev=1.37496e-06
AvgFitness=1.07541e-05 StdDev=1.38886e-06
AvgFitness=1.06654e-05 StdDev=1.33007e-06
AvgFitness=1.06885e-05 StdDev=1.34988e-06
AvgFitness=1.06689e-05 StdDev=1.38277e-06
AvgFitness=1.0694e-05 StdDev=1.39191e-06
AvgFitness=1.0683e-05 StdDev=1.38761e-06
AvgFitness=1.06954e-05 StdDev=1.44665e-06
AvgFitness=1.0778e-05 StdDev=1.43702e-06
AvgFitness=1.07648e-05 StdDev=1.39924e-06
AvgFitness=1.07523e-05 StdDev=1.43154e-06
AvgFitness=1.08816e-05 StdDev=1.44138e-06
AvgFitness=1.09187e-05 StdDev=1.46371e-06
AvgFitness=1.09397e-05 StdDev=1.46665e-06
AvgFitness=1.09703e-05 StdDev=1.46345e-06
AvgFitness=1.09527e-05 StdDev=1.47961e-06
AvgFitness=1.09469e-05 StdDev=1.44693e-06
AvgFitness=1.09689e-05 StdDev=1.39327e-06
AvgFitness=1.10418e-05 StdDev=1.40519e-06
AvgFitness=1.11086e-05 StdDev=1.36153e-06
AvgFitness=1.10185e-05 StdDev=1.37864e-06
AvgFitness=1.09296e-05 StdDev=1.37069e-06
AvgFitness=1.08886e-05 StdDev=1.39431e-06
AvgFitness=1.08887e-05 StdDev=1.44489e-06
AvgFitness=1.08778e-05 StdDev=1.42669e-06
AvgFitness=1.0871e-05 StdDev=1.41733e-06
AvgFitness=1.08447e-05 StdDev=1.36289e-06
AvgFitness=1.07853e-05 StdDev=1.34726e-06
AvgFitness=1.07931e-05 StdDev=1.31975e-06
AvgFitness=1.08286e-05 StdDev=1.34385e-06
AvgFitness=1.0893e-05 StdDev=1.36119e-06
AvgFitness=1.09023e-05 StdDev=1.36776e-06
AvgFitness=1.091e-05 StdDev=1.38804e-06
AvgFitness=1.08596e-05 StdDev=1.38533e-06
AvgFitness=1.09594e-05 StdDev=1.42558e-06
AvgFitness=1.09821e-05 StdDev=1.41171e-06
